Date,Price,Open,High,Low,Vol.,Change %
1/11/2021,298,300,301.4,295,338.64K,-0.33%
1/8/2021,299,297,300,294.2,397.59K,0.67%
1/7/2021,297,298.6,298.6,294,156.33K,-0.67%
1/6/2021,299,299.2,299.2,291,174.00K,-0.07%
1/5/2021,299.2,295,299.2,288.8,281.44K,1.42%
1/4/2021,295,293,295,292,180.93K,1.03%
12/29/2020,292,290,293,289,333.66K,1.25%
12/28/2020,288.4,285,292,285,159.07K,2.05%
12/23/2020,282.6,282,284,281.8,230.02K,0.21%
12/22/2020,282,283,284.2,282,240.26K,-0.28%
12/21/2020,282.8,283,285.8,282,257.05K,0.43%
12/18/2020,281.6,285,289.4,281.6,660.21K,-0.85%
12/17/2020,284,285.8,289.4,284,579.94K,-0.63%
12/16/2020,285.8,295,295,285.8,458.65K,-0.42%
12/15/2020,287,290,294.8,287,353.81K,0.00%
12/14/2020,287,294.6,295,287,537.37K,-1.03%
12/11/2020,290,300,300,290,420.42K,-1.83%
12/10/2020,295.4,300,300,295.4,287.91K,-1.53%
12/9/2020,300,298,303.6,298,244.57K,1.01%
12/7/2020,297,295,301.6,294.4,282.91K,0.68%
12/4/2020,295,296,300.4,294,196.50K,-0.34%
12/3/2020,296,300,300,290.2,293.95K,-0.67%
12/2/2020,298,300,300,295,301.76K,-0.67%
12/1/2020,300,282,300,282,317.19K,6.53%
11/27/2020,281.6,287,294.8,281.6,1.15M,-1.88%
11/26/2020,287,295,295.4,285,302.62K,-2.71%
11/25/2020,295,299.8,299.8,295,258.14K,-1.60%
11/24/2020,299.8,301.6,303,295.2,382.49K,-0.40%
11/23/2020,301,304.2,309,301,264.02K,-1.05%
11/20/2020,304.2,303,306,301,134.73K,1.40%
11/19/2020,300,309,309,300,234.94K,-1.96%
11/18/2020,306,309,310.4,300.4,297.74K,-1.61%
11/17/2020,311,314,314,305.2,156.05K,-1.27%
11/16/2020,315,305,315,300.4,132.21K,3.96%
